Population size: 1000	Vaccination Percentage: 0.1	Virus Sniffles	Mortality Rate: 0.12	Basic Reproduction Number: 0.5
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046ff710>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104705610>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fb0d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fe850>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046e7f10>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fdf90>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104704e50>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104704c50>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f8090>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fce10>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fbe10>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f9150>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f8e50>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f97d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f7b90>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f93d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fde50>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fc8d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046ffe90>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046ff590>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f7250>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f40d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104705450>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fa010>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f6b50>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fcc10>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fdd10>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fed50>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fba10>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fe9d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fe150>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f9810>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104705590>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f9e50>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fa150>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104704bd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104704e10>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fced0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fa0d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104705cd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fe7d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fffd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fd350>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f6d10>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f5b50>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046e7f90>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f8990>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f5190>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1047043d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fda90>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x104705a90>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f4dd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fb190>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fe290>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f7150>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f9ad0>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fbf50>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f9550>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f8990>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fd810>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f9cd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x104704e50>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5710>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fae10>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fdb90>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5cd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fbf10>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046ff1d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f8e50>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f8650>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fee90>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f6e10>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fe450>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f71d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fc950>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f9390>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046ff950>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fb490>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fedd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046faf10>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x104705050>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fd8d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fef50>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f7950>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fd5d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fd810>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5490>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fcf90>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x104704b90>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5890>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fa450>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5f90>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fe490>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f6d50>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f53d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fff10>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fc390>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x104704ed0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f7f50>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fa6d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f8690>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046ff050>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5310>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5f50>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f8c50>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f81d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046ff150>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f9350>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f9150>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5850>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f6f10>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f66d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fc610>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f6410>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f7150>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5a90>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f9f50>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5e10>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f4a50>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x104704f10>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fd650>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fb890>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x104704210>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x104705410>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fb6d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fed50>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f8a90>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5990>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fc690>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f7090>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fea10>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f8f10>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fa510>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f7690>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fe210>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5e50>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f6110>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fc7d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f4b10>, New Infections: No Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046fdcd0>, New Infections: New Infection
Step <person.Person object at 0x1046e7e50>: Interactions: <person.Person object at 0x1046f5c90>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046ffb10>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x104705dd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fab10>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6e50>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x104705c90>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x104705a10>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fa750>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046ff9d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd750>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd750>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fa350>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f7dd0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fb790>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9b90>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f4050>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f7d10>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6b50>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f8d50>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x104705d10>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f4950>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd450>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046ff650>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fea90>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6f50>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd2d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f4dd0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd5d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f5b50>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1047045d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f8cd0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9a10>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fa7d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fdc90>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f8810>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f5b50>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f4910>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6c90>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046ffb90>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd090>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9a50>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd450>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f7350>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fe4d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fb210>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f5e10>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046e7fd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f69d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1047043d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6d10>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fac90>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd110>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f8b10>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fcb90>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046ff510>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd810>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f4690>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f7fd0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f8cd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f5190>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9090>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6c50>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6110>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9450>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fec50>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fd0d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fe090>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fefd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9050>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fabd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046e7e90>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6450>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x104704ed0>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046ffd10>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fed90>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fecd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fa610>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f5d50>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9050>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9f90>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fa390>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f6410>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f9890>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fe190>, New Infections: New Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046f8910>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fbe10>, New Infections: No Infection
Step <person.Person object at 0x1046e7d50>: Interactions: <person.Person object at 0x1046fb890>, New Infections: No Infection
